samhita	pada
m;o .s;uu .no ;atra juhuranta dev;aa m;aa p;uurve agne pit;ara.h padaj;n;aa.h puraa.ny;o.h s;admano.h ket;ur ant;ar mah;ad dev;aanaam asuratv;am ;ekam	m;aa u s;u+ na.h ;atra juhuranta dev;aa.h m;aa p;uurve agne pit;ara.h padaj;n;aa.h puraa.ny;o.h s;admano.h ket;u.h ant;ar mah;at dev;aanaam asuratv;am ;ekam
aak.s;it p;uurvaasv ;aparaa anuur;ut sady;o jaat;aasu t;aru.nii.sv ant;a.h ant;arvatii.h suvate ;apraviitaa mah;ad dev;aanaam asuratv;am ;ekam	aak.s;it p;uurvaasu ;aparaa.h anuur;ut sady;a.h jaat;aasu t;aru.nii.su ant;ar ant;arvatii.h suvate ;apraviitaa.h mah;at dev;aanaam asuratv;am ;ekam
;s;uurasyeva y;udhyato antam;asya pratiic;iina.m dad.r;se v;i;svam aay;at ant;ar mat;i;s carati ni.s.s;idha.m g;or mah;ad dev;aanaam asuratv;am ;ekam	;s;uurasya iva y;udhyata.h antam;asya pratiic;iinam dad.r;se v;i;svam aay;at ant;ar mat;i.h carati ni.s.s;idham g;o.h mah;at dev;aanaam asuratv;am ;ekam
v;i.s.nur gop;aa.h param;am paati p;aatha.h priy;aa dh;aamaany am;.rtaa d;adhaana.h agn;i.s .t;aa v;i;svaa bh;uvanaani veda mah;ad dev;aanaam asuratv;am ;ekam	v;i.s.nu.h gop;aa.h param;am paati p;aatha.h priy;aa dh;aamaani am;.rtaa d;adhaana.h agn;i.h t;aa v;i;svaa bh;uvanaani veda mah;at dev;aanaam asuratv;am ;ekam
n;aanaa cakraate yamy:aa v;apuu.m.si t;ayor any;ad r;ocate k.r.s.n;am any;at ;sy;aavii ca y;ad ;aru.sii ca sv;asaarau mah;ad dev;aanaam asuratv;am ;ekam	n;aanaa cakraate yamy:aa v;apuu.m.si t;ayo.h any;at r;ocate k.r.s.n;am any;at ;sy;aavii ca y;at ;aru.sii ca sv;asaarau mah;at dev;aanaam asuratv;am ;ekam
;aa dhen;avo dhunayantaam ;a;si;svii.h sabard;ughaa.h ;sa;say;aa ;apradugdhaa.h n;avyaa-navyaa yuvat;ayo bh;avantiir mah;ad dev;aanaam asuratv;am ;ekam	;aa dhen;ava.h dhunayantaam ;a;si;svii.h sabard;ughaa.h ;sa;say;aa.h ;apradugdhaa.h n;avyaa-navyaa.h yuvat;aya.h bh;avantii.h mah;at dev;aanaam asuratv;am ;ekam
viir;asya n;u sv;a;svya.m janaasa.h pr;a n;u vocaama vid;ur asya dev;aa.h .so.dh;aa yukt;aa.h p;a;nca-pa;nc;aa vahanti mah;ad dev;aanaam asuratv;am ;ekam	viir;asya n;u sv;a;svyam janaasa.h pr;a n;u vocaama vid;u.h asya dev;aa.h .so.dh;aa yukt;aa.h p;a;nca-pa;nca ;aa vahanti mah;at dev;aanaam asuratv;am ;ekam
dev;as tv;a.s.taa savit;aa vi;sv;aruupa.h pup;o.sa praj;aa.h purudh;aa jajaana im;aa ca v;i;svaa bh;uvanaany asya mah;ad dev;aanaam asuratv;am ;ekam	dev;a.h tv;a.s.taa savit;aa vi;sv;aruupa.h pup;o.sa praj;aa.h purudh;aa jajaana im;aa ca v;i;svaa bh;uvanaani asya mah;at dev;aanaam asuratv;am ;ekam
im;aa.m ca na.h p.rthiv;ii.m vi;sv;adhaayaa ;upa k.seti hit;amitro n;a r;aajaa pura.hs;ada.h ;sarmas;ado n;a viir;aa mah;ad dev;aanaam asuratv;am ;ekam	im;aam ca na.h p.rthiv;iim vi;sv;adhaayaa.h ;upa k.seti hit;amitra.h n;a r;aajaa pura.hs;ada.h ;sarmas;ada.h n;a viir;aa.h mah;at dev;aanaam asuratv;am ;ekam
ni.s.s;idhvariis ta ;o.sadhiir ut;aapo ray;i.m ta indra p.rthiv;ii bibharti s;akhaayas te vaamabh;aaja.h syaama mah;ad dev;aanaam asuratv;am ;ekam	ni.s.s;idhvarii.h te ;o.sadhii.h ut;a ;aapa.h ray;im te indra p.rthiv;ii bibharti s;akhaaya.h te vaamabh;aaja.h syaama mah;at dev;aanaam asuratv;am ;ekam
n;a t;aa minanti maay;ino n;a dh;iiraa vrat;aa dev;aanaam pratham;aa dhruv;aa.ni n;a r;odasii adr;uhaa vedy;aabhir n;a p;arvataa nin;ame tasthiv;aa.msa.h	n;a t;aa minanti maay;ina.h n;a dh;iiraa.h vrat;aa dev;aanaam pratham;aa dhruv;aa.ni n;a r;odasii adr;uhaa vedy;aabhi.h n;a p;arvataa.h nin;ame tasthiv;aa.msa.h
.s;a.d bhaar;aa;m ;eko ;acaran bibharty .rt;a.m v;ar.si.s.tham ;upa g;aava ;aagu.h tisr;o mah;iir ;uparaas tasthur ;atyaa g;uhaa dv;e n;ihite d;ar;sy ;ekaa	.s;a.t bhaar;aan ;eka.h ;acaran bibharti .rt;am v;ar.si.s.tham ;upa g;aava.h ;aa agu.h tisr;a.h mah;ii.h ;uparaa.h tasthu.h ;atyaa.h g;uhaa dv;e n;ihite d;ar;si ;ekaa
abh;iika aasaam padav;iir abodhy aadity;aanaam ahve c;aaru n;aama ;aapa;s cid asmaa aramanta dev;ii.h p;.rthag vr;ajantii.h p;ari .siim av.r;njan	abh;iike aasaam padav;ii.h abodhi aadity;aanaam ahve c;aaru n;aama ;aapa.h cit asmai aramanta dev;ii.h p;.rthak vr;ajantii.h p;ari siim av.r;njan
tr;ir ;aa div;a.h savit;aa so.saviiti r;aajaanaa mitr;aav;aru.naa supaa.n;ii ;aapa;s cid asya r;odasii cid urv;ii r;atnam bhik.santa savit;u.h sav;aaya	tr;i.h ;aa div;a.h savit;aa so.saviiti r;aajaanaa mitr;aav;aru.naa supaa.n;ii ;aapa.h cit asya r;odasii cit urv;ii r;atnam bhik.santa savit;u.h sav;aaya
tr;ir uttam;aa duu.n;a;saa rocan;aani tr;ayo raajanty ;asurasya viir;aa.h .rt;aavaana i.sir;aa duu.d;abhaasas tr;ir ;aa div;o vid;athe santu dev;aa.h	tr;i.h uttam;aa duu.n;a;saa rocan;aani tr;aya.h raajanti ;asurasya viir;aa.h .rt;aavaana.h i.sir;aa.h duu.d;abhaasa.h tr;i.h ;aa div;a.h vid;athe santu dev;aa.h
pr;a me vivikv;aa;m avidan manii.s;aa.m dhen;u.m c;arantiim pr;ayutaam ;agopaam sady;a;s cid y;aa duduh;e bh;uuri dhaas;er ;indras t;ad agn;i.h panit;aaro asyaa.h	pr;a me vivikv;aan avidat manii.s;aam dhen;um c;arantiim pr;ayutaam ;agopaam sady;a.h cit y;aa duduh;e bh;uuri dhaas;e.h ;indra.h t;at agn;i.h panit;aara.h asyaa.h
y;aa jaam;ayo v;.r.s.na ich;anti ;sakt;i.m namasy;antiir jaanate g;arbham asmin ;achaa putr;a.m dhen;avo vaava;saan;aa mah;a;s caranti b;ibhrata.m v;apuu.m.si	y;aa.h jaam;aya.h v;.r.s.ne ich;anti ;sakt;im namasy;antii.h jaanate g;arbham asmin ;acha+ putr;am dhen;ava.h vaava;saan;aa.h mah;a.h caranti b;ibhratam v;apuu.m.si
;achaa vivakmi r;odasii sum;eke gr;aav.no yujaan;o adhvar;e manii.s;aa im;aa u te m;anave bh;uurivaaraa uurdhv;aa bhavanti dar;sat;aa y;ajatraa.h	;acha+ vivakmi r;odasii sum;eke gr;aav.na.h yujaan;a.h adhvar;e manii.s;aa im;aa.h u te m;anave bh;uurivaaraa.h uurdhv;aa.h bhavanti dar;sat;aa.h y;ajatraa.h
y;aa te jihv;aa m;adhumatii sumedh;aa ;agne dev;e.suucy;ata uruuc;ii t;ayeh;a v;i;svaa;m ;avase y;ajatraan ;aa saadaya paay;ayaa caa m;adhuuni	y;aa te jihv;aa m;adhumatii sumedh;aa.h ;agne dev;e.su ucy;ate uruuc;ii t;ayaa ih;a v;i;svaan ;avase y;ajatraan ;aa saadaya paay;aya+ ca+ m;adhuuni
y;aa te agne p;arvatasyeva dh;aar;aasa;scantii piip;ayad deva citr;aa t;aam asm;abhyam pr;amati.m jaatavedo v;aso r;aasva sumat;i.m vi;sv;ajanyaam	y;aa te agne p;arvatasya iva dh;aaraa ;asa;scantii piip;ayat deva citr;aa t;aam asm;abhyam pr;amatim jaataveda.h v;aso r;aasva sumat;im vi;sv;ajanyaam
suy;ug vahanti pr;ati vaam .rt;enordhv;aa bhavanti pit;areva m;edhaa.h j;arethaam asm;ad v;i pa.n;er manii.s;aa.m yuv;or ;ava;s cak.rm;aa yaatam arv;aak	suy;uk vahanti pr;ati vaam .rt;ena uurdhv;aa.h bhavanti pit;araa iva m;edhaa.h j;arethaam asm;at v;i pa.n;e.h manii.s;aam yuv;o.h ;ava.h cak.rma ;aa yaatam arv;aak
suy;ugbhir ;a;svai.h suv;.rtaa r;athena d;asraav im;a.m ;s.r.nuta.m ;sl;okam ;adre.h k;im a:ng;a vaam pr;aty ;avarti.m g;ami.s.thaah;ur v;ipraaso a;svinaa puraaj;aa.h	suy;ugbhi.h ;a;svai.h suv;.rtaa r;athena d;asrau im;am ;s.r.nutam ;sl;okam ;adre.h k;im a:ng;a vaam pr;ati ;avartim g;ami.s.thaa aah;u.h v;ipraasa.h a;svinaa puraaj;aa.h
tir;a.h pur;uu cid a;svinaa r;ajaa.msy aa:nguu.s;o vaam maghavaanaa j;ane.su ;eh;a yaatam path;ibhir devay;aanair d;asraav im;e vaa.m nidh;ayo m;adhuunaam	tir;a.h pur;u+ cit a;svinaa r;ajaa.msi aa:nguu.s;a.h vaam maghavaanaa j;ane.su ;aa ih;a yaatam path;ibhi.h devay;aanai.h d;asrau im;e vaam nidh;aya.h m;adhuunaam
;a;svinaa p;ari vaam ;i.sa.h puruuc;iir iiy;ur giirbh;ir y;atamaanaa ;am.rdhraa.h r;atho ha vaam .rtaj;aa ;adrijuuta.h p;ari dy;aavaap.rthiv;ii yaati sady;a.h	;a;svinaa p;ari vaam ;i.sa.h puruuc;ii.h iiy;u.h giirbh;i.h y;atamaanaa.h ;am.rdhraa.h r;atha.h ha vaam .rtaj;aa.h ;adrijuuta.h p;ari dy;aavaap.rthiv;ii yaati sady;a.h
mitr;o j;anaan yaatayati bruvaa.n;o mitr;o daadhaara p.rthiv;iim ut;a dy;aam mitr;a.h k.r.s.t;iir ;animi.saabh;i ca.s.te mitr;aaya havy;a.m gh.rt;avaj juhota	mitr;a.h j;anaan yaatayati bruvaa.n;a.h mitr;a.h daadhaara p.rthiv;iim ut;a dy;aam mitr;a.h k.r.s.t;ii.h ;animi.saa abh;i ca.s.te mitr;aaya havy;am gh.rt;avat juhota
anamiiv;aasa ;i.dayaa m;adanto mit;aj;navo v;arimann ;aa p.rthivy;aa.h aadity;asya vrat;am upak.siy;anto vay;am mitr;asya sumata;u syaama	anamiiv;aasa.h ;i.dayaa m;adanta.h mit;aj;nava.h v;ariman ;aa p.rthivy;aa.h aadity;asya vrat;am upak.siy;anta.h vay;am mitr;asya sumata;u syaama
ay;am mitr;o namasy:a.h su;s;evo r;aajaa suk.satr;o ajani.s.ta vedh;aa.h t;asya vay;a.m sumata;u yaj;n;iyasy;aapi bhadr;e saumanas;e syaama	ay;am mitr;a.h namasy:a.h su;s;eva.h r;aajaa suk.satr;a.h ajani.s.ta vedh;aa.h t;asya vay;am sumata;u yaj;n;iyasya ;api bhadr;e saumanas;e syaama
abh;i y;o mahin;aa d;ivam mitr;o babh;uuva sapr;athaa.h abh;i ;sr;avobhi.h p.rthiv;iim	abh;i y;a.h mahin;aa d;ivam mitr;a.h babh;uuva sapr;athaa.h abh;i ;sr;avobhi.h p.rthiv;iim
mitr;o dev;e.sv aay;u.su j;anaaya v.rkt;abarhi.se ;i.sa i.s.t;avrataa aka.h	mitr;a.h dev;e.su aay;u.su j;anaaya v.rkt;abarhi.se ;i.sa.h i.s.t;avrataa.h akar
;indrasya sakhy;am .rbh;ava.h s;am aana;sur m;anor n;apaato ap;aso dadhanvire saudhanvan;aaso am.rtatv;am ;erire vi.s.tv;ii ;s;amiibhi.h suk;.rta.h suk.rty;ayaa	;indrasya sakhy;am .rbh;ava.h s;am aana;su.h m;ano.h n;apaata.h ap;asa.h dadhanvire saudhanvan;aasa.h am.rtatv;am ;aa iirire vi.s.tv;ii ;s;amiibhi.h suk;.rta.h suk.rty;ayaa
;indre.na yaatha sar;atha.m sut;e s;acaa;m ;atho v;a;saanaam bhavathaa sah;a ;sriy;aa n;a va.h pratima;i suk.rt;aani vaaghata.h sa;udhanvanaa .rbhavo viiry:aa.ni ca	;indre.na yaatha sar;atham sut;e s;acaa ;atha u v;a;saanaam bhavatha+ sah;a ;sriy;aa n;a va.h pratima;i suk.rt;aani vaaghata.h sa;udhanvanaa.h .rbhava.h viiry:aa.ni ca
;indra .rbh;ubhir v;aajavadbhi.h s;amuk.sita.m sut;a.m s;omam ;aa v.r.sasvaa g;abhastyo.h dhiy;e.sit;o maghavan daa;s;u.so g.rh;e saudhanvan;ebhi.h sah;a matsvaa n;.rbhi.h	;indra .rbh;ubhi.h v;aajavadbhi.h s;amuk.sitam sut;am s;omam ;aa v.r.sasva+ g;abhastyo.h dhiy;aa i.sit;a.h maghavan daa;s;u.sa.h g.rh;e saudhanvan;ebhi.h sah;a matsva+ n;.rbhi.h
;indra .rbh;ubhir vaaj;ibhir vaaj;ayann ih;a st;oma.m jarit;ur ;upa yaahi yaj;n;iyam ;sat;a.m k;etebhir i.sir;ebhir aay;ave sah;asra.niitho adhvar;asya h;omani	;indra .rbh;ubhi.h vaaj;ibhi.h vaaj;ayan ih;a st;omam jarit;u.h ;upa yaahi yaj;n;iyam ;sat;am k;etebhi.h i.sir;ebhi.h aay;ave sah;asra.niitha.h adhvar;asya h;omani
;u.so v;aajena vaajini pr;acetaa st;oma.m ju.sasva g.r.nat;o maghoni puraa.n;ii devi yuvat;i.h p;ura.mdhir ;anu vrat;a.m carasi vi;svavaare	;u.sa.h v;aajena vaajini pr;acetaa.h st;omam ju.sasva g.r.nat;a.h maghoni puraa.n;ii devi yuvat;i.h p;ura.mdhi.h ;anu vrat;am carasi vi;svavaare
;u.sa.h pratiic;ii bh;uvanaani v;i;svordhv;aa ti.s.thasy am;.rtasya ket;u.h samaan;am ;artha.m cara.niiy;amaanaa cakr;am iva navyasy ;aa vav.rtsva	;u.sa.h pratiic;ii bh;uvanaani v;i;svaa uurdhv;aa ti.s.thasi am;.rtasya ket;u.h samaan;am ;artham cara.niiy;amaanaa cakr;am iva navyasi ;aa vav.rtsva
.rt;asya budhn;a u.s;asaam i.sa.ny;an v;.r.saa mah;ii r;odasii ;aa vive;sa mah;ii mitr;asya v;aru.nasya maay;aa candr;eva bhaan;u.m v;i dadhe purutr;aa	.rt;asya budhn;e u.s;asaam i.sa.ny;an v;.r.saa mah;ii r;odasii ;aa vive;sa mah;ii mitr;asya v;aru.nasya maay;aa candr;aa iva bhaan;um v;i dadhe purutr;aa
ay;am u vaam purut;amo rayiiy;a;n cha;svattam;am ;avase johaviiti saj;o.saav indraavaru.naa mar;udbhir div;aa p.rthivy;aa ;s.r.nuta.m h;avam me	ay;am u vaam purut;ama.h rayiiy;an ;sa;svattam;am ;avase johaviiti saj;o.sau indraavaru.naa mar;udbhi.h div;aa p.rthivy;aa ;s.r.nutam h;avam me
b;.rhaspate ju.s;asva no havy;aani vi;svadevya r;aasva r;atnaani daa;s;u.se	b;.rhaspate ju.s;asva na.h havy;aani vi;svadevya r;aasva r;atnaani daa;s;u.se
v.r.sabh;a.m car.sa.niin;aa.m vi;sv;aruupam ;adaabhyam b;.rhasp;ati.m v;are.nyam	v.r.sabh;am car.sa.niin;aam vi;sv;aruupam ;adaabhyam b;.rhasp;atim v;are.nyam
iy;a.m te puu.sann aagh.r.ne su.s.tut;ir deva n;avyasii asm;aabhis t;ubhya.m ;sasyate	iy;am te puu.san aagh.r.ne su.s.tut;i.h deva n;avyasii asm;aabhi.h t;ubhyam ;sasyate
y;o v;i;svaabh;i vip;a;syati bh;uvanaa s;a.m ca p;a;syati s;a na.h puu.s;aavit;aa bhuvat	y;a.h v;i;svaa abh;i vip;a;syati bh;uvanaa s;am ca p;a;syati s;a na.h puu.s;aa avit;aa bhuvat
dev;a.m n;ara.h savit;aara.m v;ipraa yaj;na;i.h suv.rkt;ibhi.h namasy;anti dhiy;e.sit;aa.h	dev;am n;ara.h savit;aaram v;ipraa.h yaj;na;i.h suv.rkt;ibhi.h namasy;anti dhiy;aa i.sit;aa.h
s;omo jigaati gaatuv;id dev;aanaam eti ni.sk.rt;am .rt;asya y;onim aas;adam	s;oma.h jigaati gaatuv;it dev;aanaam eti ni.sk.rt;am .rt;asya y;onim aas;adam
s;omo asm;abhya.m dvip;ade c;atu.spade ca pa;s;ave anamiiv;aa ;i.sas karat	s;oma.h asm;abhyam dvip;ade c;atu.spade ca pa;s;ave anamiiv;aa.h ;i.sa.h karat
s;akhe s;akhaayam abhy ;aa vav.rtsvaa;s;u.m n;a cakr;a.m r;athyeva r;a;mhyaasm;abhya.m dasma r;a;mhyaa ;agne m.r.diik;a.m v;aru.ne s;acaa vido mar;utsu vi;sv;abhaanu.su tok;aaya tuj;e ;su;sucaana ;s;a.m k.rdhy asm;abhya.m dasma ;s;a.m k.rdhi	s;akhe s;akhaayam abh;i ;aa vav.rtsva aa;s;um n;a cakr;am r;athyaa iva r;a;mhyaa asm;abhyam dasma r;a.mhyaa ;agne m.r.diik;am v;aru.ne s;acaa vida.h mar;utsu vi;sv;abhaanu.su tok;aaya tuj;e ;su;sucaana ;s;am k.rdhi asm;abhyam dasma ;s;am k.rdhi
tv;a.m no agne v;aru.nasya vidv;aan dev;asya h;e.d;o 'va yaasisii.s.thaa.h y;aji.s.tho v;ahnitama.h ;s;o;sucaano v;i;svaa dv;e.saa;msi pr;a mumugdhy asm;at	tv;am na.h agne v;aru.nasya vidv;aan dev;asya h;e.da.h ;ava yaasisii.s.thaa.h y;aji.s.tha.h v;ahnitama.h ;s;o;sucaana.h v;i;svaa dv;e.saa.msi pr;a mumugdhi asm;at
s;a tv;a.m no agne 'vam;o bhavot;ii n;edi.s.tho asy;aa u.s;aso vy:u.s.tau ;ava yak.sva no v;aru.na.m r;araa.no viih;i m.r.diik;a.m suh;avo na edhi	s;a tv;am na.h agne avam;a.h bhava uut;ii n;edi.s.tha.h asy;aa.h u.s;asa.h vy:u.s.tau ;ava yak.sva na.h v;aru.nam r;araa.na.h viih;i m.r.diik;am suh;ava.h na.h edhi
tr;ir asya t;aa param;aa santi saty;aa spaarh;aa dev;asya j;animaany agn;e.h anant;e ant;a.h p;ariviita ;aagaac ch;uci.h ;sukr;o ary;o r;orucaana.h	tr;i.h asya t;aa param;aa santi saty;aa spaarh;aa dev;asya j;animaani agn;e.h anant;e ant;ar p;ariviita.h ;aa agaat ;s;uci.h ;sukr;a.h ary;a.h r;orucaana.h
s;a duut;o v;i;sv;ed abh;i va.s.ti s;admaa h;otaa h;ira.nyaratho roh;ida;svo vapu.sy:o vibh;aavaa s;adaa ra.nv;a.h pitum;atiiva sa.ms;at	s;a duut;a.h v;i;svaa ;it abh;i va.s.ti s;adma+ h;otaa h;ira.nyaratha.h r;a.msujihva.h roh;ida;sva.h vapu.sy:a.h vibh;aavaa s;adaa ra.nv;a.h pitum;atii iva sa.ms;at
s;a t;uu no agn;ir nayatu prajaan;ann ;achaa r;atna.m dev;abhakta.m y;ad asya dhiy;aa y;ad v;i;sve am;.rtaa ;ak.r.nvan dya;u.s pit;aa janit;aa saty;am uk.san	s;a t;u+ na.h agn;i.h nayatu prajaan;an ;acha+ r;atnam dev;abhaktam y;at asya dhiy;aa y;at v;i;sve am;.rtaa.h ;ak.r.nvan dya;u.h pit;aa janit;aa saty;am uk.san
asm;aakam ;atra pit;aro manu.sy:aa abh;i pr;a sedur .rt;am aa;su.saa.n;aa.h ;a;smavrajaa.h sud;ughaa vavr;e ant;ar ;ud usr;aa aajann u.s;aso huvaan;aa.h	asm;aakam ;atra pit;ara.h manu.sy:aa.h abh;i pr;a sedu.h .rt;am aa;su.saa.n;aa.h ;a;smavrajaa.h sud;ughaa.h vavr;e ant;ar ;ut usr;aa.h aajan u.s;asa.h huvaan;aa.h
t;e gavyat;aa m;anasaa d.rdhr;am ubdh;a.m g;aa yemaan;am p;ari .s;antam ;adrim d.r.dh;a.m n;aro v;acasaa da;ivyena vraj;a.m g;omantam u;s;ijo v;i vavru.h	t;e gavyat;aa m;anasaa d.rdhr;am ubdh;am g;aa.h yemaan;am p;ari s;antam ;adrim d.r.dh;am n;ara.h v;acasaa da;ivyena vraj;am g;omantam u;s;ija.h v;i vavru.h
t;e manvata pratham;a.m n;aama dhen;os tr;i.h sapt;a maat;u.h param;aa.ni vindan t;aj jaanat;iir abhy :anuu.sata vr;aa aav;ir bhuvad aru.n;iir ya;s;asaa g;o.h	t;e manvata pratham;am n;aama dhen;o.h tr;i.h sapt;a maat;u.h param;aa.ni vindan t;at jaanat;ii.h abh;i anuu.sata vr;aa.h aav;i.h bhuvat aru.n;ii.h ya;s;asaa g;o.h
v;i;sve.saam ;aditir yaj;n;iyaanaa.m v;i;sve.saam ;atithir m;aanu.saa.naam agn;ir dev;aanaam ;ava aav.r.naan;a.h sum.r.diik;o bhavatu jaat;avedaa.h	v;i;sve.saam ;aditi.h yaj;n;iyaanaam v;i;sve.saam ;atithi.h m;aanu.saa.naam agn;i.h dev;aanaam ;ava.h aav.r.naan;a.h sum.r.diik;a.h bhavatu jaat;avedaa.h
y;o m;artye.sv am;.rta .rt;aavaa dev;o dev;e.sv arat;ir nidh;aayi h;otaa y;aji.s.tho mahn;aa ;suc;adhyai havya;ir agn;ir m;anu.sa iiray;adhyai	y;a.h m;artye.su am;.rta.h .rt;aavaa dev;a.h dev;e.su arat;i.h nidh;aayi h;otaa y;aji.s.tha.h mahn;aa ;suc;adhyai havya;i.h agn;i.h m;anu.sa.h iiray;adhyai
ih;a tv;a.m suuno sahaso no ady;a jaat;o jaat;aa;m ubh;ayaa;m ant;ar agne duut;a iiyase yuyujaan;a .r.sva .rjumu.sk;aan v;.r.sa.na.h ;sukr;aa;m;s ca	ih;a tv;am suuno sahasa.h na.h ady;a jaat;a.h jaat;aan ubh;ayaan ant;ar agne duut;a.h iiyase yuyujaan;a.h .r.sva .rjumu.sk;aan v;.r.sa.na.h ;sukr;aan ca
g;omaa;m agn;e 'vimaa;m a;sv;ii yaj;n;o n.rv;atsakhaa s;adam ;id apram.r.sy;a.h ;i.daavaa;m e.s;o asura praj;aavaan diirgh;o ray;i.h p.rthubudhn;a.h sabh;aavaan	g;omaan agne ;avimaan a;sv;ii yaj;n;a.h n.rv;atsakhaa s;adam ;it apram.r.sy;a.h ;i.daavaan e.s;a.h asura praj;aavaan diirgh;a.h ray;i.h p.rthubudhn;a.h sabh;aavaan
y;as ta idhm;a.m jabh;arat si.svidaan;o muurdh;aana.m vaa tat;apate tvaay;aa bh;uvas t;asya sv;atavaa;m.h paay;ur agne v;i;svasmaat siim aghaayat;a uru.sya	y;a.h te idhm;am jabh;arat si.svidaan;a.h muurdh;aanam vaa tat;apate tvaay;aa bh;uva.h t;asya sv;atavaan paay;u.h agne v;i;svasmaat siim aghaayat;a.h uru.sya
y;as tvaa do.s;aa y;a u.s;asi pra;s;a;msaat priy;a.m vaa tvaa k.r.n;avate hav;i.smaan ;a;svo n;a sv;e d;ama ;aa hemy;aavaan t;am ;a;mhasa.h piiparo daa;sv;aa;msam	y;a.h tvaa do.s;aa y;a.h u.s;asi pra;s;a.msaat priy;am vaa tvaa k.r.n;avate hav;i.smaan ;a;sva.h n;a sv;e d;ame ;aa hemy;aavaan t;am ;a.mhasa.h piipara.h daa;sv;aa.msam
y;as t;ubhyam agne am;.rtaaya d;aa;sad d;uvas tv;e k.r.n;avate yat;asruk n;a s;a raay;aa ;sa;samaan;o v;i yo.san na;inam ;a;mha.h p;ari varad aghaay;o.h	y;a.h t;ubhyam agne am;.rtaaya d;aa;sat d;uva.h tv;e k.r.n;avate yat;asruk n;a s;a raay;aa ;sa;samaan;a.h v;i yo.sat n;a enam ;a.mha.h p;ari varat aghaay;o.h
c;ittim ;acitti.m cinavad v;i vidv;aan p.r.s.th;eva viit;aa v.rjin;aa ca m;artaan raay;e ca na.h svapaty;aaya deva d;iti.m ca r;aasv;aaditim uru.sya	c;ittim ;acittim cinavat v;i vidv;aan p.r.s.th;aa iva viit;aa v.rjin;aa ca m;artaan raay;e ca na.h svapaty;aaya deva d;itim ca r;aasva ;aditim uru.sya
tv;am agne vaagh;ate supr;a.niiti.h sut;asomaaya vidhat;e yavi.s.tha r;atnam bhara ;sa;samaan;aaya gh.r.sve p.rth;u ;scandr;am ;avase car.sa.nipr;aa.h	tv;am agne vaagh;ate supr;a.niiti.h sut;asomaaya vidhat;e yavi.s.tha r;atnam bhara ;sa;samaan;aaya gh.r.sve p.rth;u ;scandr;am ;avase car.sa.nipr;aa.h
;adhaa ha y;ad vay;am agne tvaay;aa pa.dbh;ir h;astebhi;s cak.rm;aa tan;uubhi.h r;atha.m n;a kr;anto ;apasaa bhur;ijor .rt;a.m yemu.h sudhy:a aa;su.saa.n;aa.h	;adha+ ha y;at vay;am agne tvaay;aa pa.dbh;i.h h;astebhi.h cak.rm;a+ tan;uubhi.h r;atham n;a kr;anta.h ;apasaa bhur;ijo.h .rt;am yemu.h sudhy:a.h aa;su.saa.n;aa.h
;adhaa y;athaa na.h pit;ara.h p;araasa.h pratn;aaso agna .rt;am aa;su.saa.n;aa.h ;s;uc;iid ayan d;iidhitim uktha;s;aasa.h k.s;aamaa bhind;anto aru.n;iir ;apa vran	;adha+ y;athaa na.h pit;ara.h p;araasa.h pratn;aasa.h agne .rt;am aa;su.saa.n;aa.h ;s;uci ;it ayan d;iidhitim uktha;s;aasa.h k.s;aama+ bhind;anta.h aru.n;ii.h ;apa vran
suk;armaa.na.h sur;uco devay;ant;o 'yo n;a dev;aa j;animaa dh;amanta.h ;suc;anto agn;i.m vav.rdh;anta ;indram uurv;a.m g;avyam pari.s;adanto agman	suk;armaa.na.h sur;uca.h devay;anta.h ;aya.h n;a dev;aa.h j;anima+ dh;amanta.h ;suc;anta.h agn;im vav.rdh;anta.h ;indram uurv;am g;avyam pari.s;adanta.h agman
;aa yuuth;eva k.sum;ati pa;sv;o akhyad dev;aanaa.m y;aj j;anim;aanty ugra m;artaanaa.m cid urv;a;siir ak.rpran v.rdh;e cid ary;a ;uparasyaay;o.h	;aa yuuth;aa iva k.sum;ati pa;sv;a.h akhyat dev;aanaam y;at j;anima ;anti ugra m;artaanaam cit urv;a;sii.h ak.rpran v.rdh;e cit ary;a.h ;uparasya aay;o.h
;akarma te sv;apaso abhuuma .rt;am avasrann u.s;aso vibhaat;ii.h ;anuunam agn;im purudh;aa su;scandr;a.m dev;asya m;arm.rjata;s c;aaru c;ak.su.h	;akarma te sv;apasa.h abhuuma .rt;am avasran u.s;asa.h vibhaat;ii.h ;anuunam agn;im purudh;aa su;scandr;am dev;asya m;arm.rjata.h c;aaru c;ak.su.h
;aa vo r;aajaanam adhvar;asya rudr;a.m h;otaara.m satyay;aja.m r;odasyo.h agn;im pur;aa tanayitn;or ac;ittaad dh;ira.nyaruupam ;avase k.r.nudhvam	;aa va.h r;aajaanam adhvar;asya rudr;am h;otaaram satyay;ajam r;odasyo.h agn;im pur;aa tanayitn;o.h ac;ittaat h;ira.nyaruupam ;avase k.r.nudhvam
