samhita	pada
;sat;adhaaram ;utsam ;ak.siiyamaa.na.m vipa;sc;itam pit;ara.m v;aktvaanaam me.d;im m;adantam pitr;or up;asthe t;a.m rodasii pip.rta.m satyav;aacam	;sat;adhaaram ;utsam ;ak.siiyamaa.nam vipa;sc;itam pit;aram v;aktvaanaam me.d;im m;adantam pitr;o.h up;asthe t;am rodasii pip.rtam satyav;aacam
pr;a vo v;aajaa abh;idyavo hav;i.smanto gh.rt;aacyaa dev;aa;n jigaati sumnay;u.h	pr;a va.h v;aajaa.h abh;idyava.h hav;i.smanta.h gh.rt;aacyaa dev;aan jigaati sumnay;u.h
;ii.de agn;i.m vipa;sc;ita.m gir;aa yaj;n;asya s;aadhanam ;sru.s.tiiv;aana.m dhit;aavaanam	;ii.de agn;im vipa;sc;itam gir;aa yaj;n;asya s;aadhanam ;sru.s.tiiv;aanam dhit;aavaanam
;agne ;sak;ema te vay;a.m y;ama.m dev;asya vaaj;ina.h ;ati dv;e.saa.msi tarema	;agne ;sak;ema te vay;am y;amam dev;asya vaaj;ina.h ;ati dv;e.saa.msi tarema
samidhy;amaano adhvar:e 'gn;i.h paavak;a ;ii.dya.h ;soc;i.ske;sas t;am iimahe	samidhy;amaana.h adhvar;e agn;i.h paavak;a.h ;ii.dya.h ;soc;i.ske;sa.h t;am iimahe
p.rthup;aajaa ;amartyo gh.rt;anir.nik sv:aahuta.h agn;ir yaj;n;asya havyav;aa.t	p.rthup;aajaa.h ;amartya.h gh.rt;anir.nik sv:aahuta.h agn;i.h yaj;n;asya havyav;aa.t
t;a.m sab;aadho yat;asruca itth;aa dhiy;aa yaj;n;avanta.h ;aa cakrur agn;im uut;aye	t;am sab;aadha.h yat;asruca.h itth;aa dhiy;aa yaj;n;avanta.h ;aa cakru.h agn;im uut;aye
h;otaa dev;o ;amartya.h pur;astaad eti maay;ayaa vid;athaani pracod;ayan	h;otaa dev;a.h ;amartya.h pur;astaat eti maay;ayaa vid;athaani pracod;ayan
vaaj;ii v;aaje.su dhiiyate 'dhvar;e.su pr;a .niiyate v;ipro yaj;n;asya s;aadhana.h	vaaj;ii v;aaje.su dhiiyate adhvar;e.su pr;a niiyate v;ipra.h yaj;n;asya s;aadhana.h
dhiy;aa cakre v;are.nyo bhuut;aanaa.m g;arbham ;aa dadhe d;ak.sasya pit;ara.m t;anaa	dhiy;aa cakre v;are.nya.h bhuut;aanaam g;arbham ;aa dadhe d;ak.sasya pit;aram t;anaa
n;i tvaa dadhe v;are.nya.m d;ak.sasye.d;aa sahask.rta ;agne sudiit;im u;s;ijam	n;i tvaa dadhe v;are.nyam d;ak.sasya i.d;aa sahask.rta ;agne sudiit;im u;s;ijam
agn;i.m yant;uram apt;uram .rt;asya y;oge van;u.sa.h v;ipraa v;aajai.h s;am indhate	agn;im yant;uram apt;uram .rt;asya y;oge van;u.sa.h v;ipraa.h v;aajai.h s;am indhate
uurj;o n;apaatam adhvar;e diidiv;aa.msam ;upa dy;avi agn;im ii.de kav;ikratum	uurj;a.h n;apaatam adhvar;e diidiv;aa.msam ;upa dy;avi agn;im ii.de kav;ikratum
ii.d;enyo namasy:as tir;as t;amaa.msi dar;sat;a.h s;am agn;ir idhyate v;.r.saa	ii.d;enya.h namasy:a.h tir;a.h t;amaa.msi dar;sat;a.h s;am agn;i.h idhyate v;.r.saa
v;.r.so agn;i.h s;am idhyat;e ';svo n;a devav;aahana.h t;a.m hav;i.smanta ii.date	v;.r.saa u agn;i.h s;am idhyate ;a;sva.h n;a devav;aahana.h t;am hav;i.smanta.h ii.date
v;.r.sa.na.m tvaa vay;a.m v.r.san v;.r.sa.na.h s;am idhiimahi ;agne d;iidyatam b.rh;at	v;.r.sa.nam tvaa vay;am v.r.san v;.r.sa.na.h s;am idhiimahi ;agne d;iidyatam b.rh;at
;agne ju.s;asva no hav;i.h puro.d;aa;sa.m jaataveda.h praata.hsaav;e dhiyaavaso	;agne ju.s;asva na.h hav;i.h puro.d;aa;sam jaataveda.h praata.hsaav;e dhiyaavaso
puro.d;aa agne pacat;as t;ubhya.m vaa ghaa p;ari.sk.rta.h t;a.m ju.sasva yavi.s.thya	puro.d;aa.h agne pacat;a.h t;ubhyam vaa gha+ p;ari.sk.rta.h t;am ju.sasva yavi.s.thya
;agne viih;i puro.d;aa;sam ;aahuta.m tir;oahnyam s;ahasa.h suun;ur asy adhvar;e hit;a.h	;agne viih;i puro.d;aa;sam ;aahutam tir;oahnyam s;ahasa.h suun;u.h asi adhvar;e hit;a.h
m;aadhya.mdine s;avane jaataveda.h puro.d;aa;sam ih;a kave ju.sasva ;agne yahv;asya t;ava bhaagadh;eya.m n;a pr;a minanti vid;athe.su dh;iiraa.h	m;aadhya.mdine s;avane jaataveda.h puro.d;aa;sam ih;a kave ju.sasva ;agne yahv;asya t;ava bhaagadh;eyam n;a pr;a minanti vid;athe.su dh;iiraa.h
;agne t.rt;iiye s;avane h;i k;aani.sa.h puro.d;aa;sa.m sahasa.h suunav ;aahutam ;athaa dev;e.sv adhvar;a.m vipany;ayaa dh;aa r;atnavantam am;.rte.su j;aag.rvim	;agne t.rt;iiye s;avane h;i k;aani.sa.h puro.d;aa;sam sahasa.h suuno ;aahutam ;atha+ dev;e.su adhvar;am vipany;ayaa dh;aa.h r;atnavantam am;.rte.su j;aag.rvim
;agne v.rdhaan;a ;aahutim puro.d;aa;sa.m jaataveda.h ju.s;asva tir;oahnyam	;agne v.rdhaan;a.h ;aahutim puro.d;aa;sam jaataveda.h ju.s;asva tir;oahnyam
;astiid;am adhim;anthanam ;asti praj;anana.m k.rt;am et;aa.m vi;sp;atniim ;aa bharaagn;im manthaama puurv;athaa	;asti id;am adhim;anthanam ;asti praj;ananam k.rt;am et;aam vi;sp;atniim ;aa bhara agn;im manthaama puurv;athaa
ar;a.nyor n;ihito jaat;avedaa g;arbha iva s;udhito garbh;i.nii.su div;e-diva ;ii.dyo jaag.rv;adbhir hav;i.smadbhir manu.sy:ebhir agn;i.h	ar;a.nyo.h n;ihita.h jaat;avedaa.h g;arbha.h iva s;udhita.h garbh;i.nii.su div;e-dive ;ii.dya.h jaag.rv;adbhi.h hav;i.smadbhi.h manu.sy:ebhi.h agn;i.h
uttaan;aayaam ;ava bharaa cikitv;aan sady;a.h pr;aviitaa v;.r.sa.na.m jajaana aru.s;astuupo r;u;sad asya p;aaja ;i.daayaas putr;o vay;une 'jani.s.ta	uttaan;aayaam ;ava bhara+ cikitv;aan sady;a.h pr;aviitaa v;.r.sa.nam jajaana aru.s;astuupa.h r;u;sat asya p;aaja.h ;i.daayaa.h putr;a.h vay;une ajani.s.ta
;i.daayaas tvaa pad;e vay;a.m n;aabhaa p.rthivy;aa ;adhi j;aatavedo n;i dhiimahy ;agne havy;aaya v;o.dhave	;i.daayaa.h tvaa pad;e vay;am n;aabhaa p.rthivy;aa.h ;adhi j;aataveda.h n;i dhiimahi ;agne havy;aaya v;o.dhave
m;anthataa nara.h kav;im ;advayantam pr;acetasam am;.rta.m supr;atiikam yaj;n;asya ket;um pratham;am pur;astaad agn;i.m naro janayataa su;s;evam	m;anthata+ nara.h kav;im ;advayantam pr;acetasam am;.rtam supr;atiikam yaj;n;asya ket;um pratham;am pur;astaat agn;im nara.h janayata+ su;s;evam
y;adii m;anthanti baah;ubhir v;i rocat;e ';svo n;a vaajy :aru.s;o v;ane.sv ;aa citr;o n;a y;aamann a;sv;inor ;aniv.rta.h p;ari v.r.nakty ;a;smanas t;.r.naa d;ahan	y;adi+ m;anthanti baah;ubhi.h v;i rocate ;a;sva.h n;a vaaj;ii aru.s;a.h v;ane.su ;aa citr;a.h n;a y;aaman a;sv;ino.h ;aniv.rta.h p;ari v.r.nakti ;a;smana.h t;.r.naa d;ahan
jaat;o agn;ii rocate c;ekitaano vaaj;ii v;ipra.h kavi;sast;a.h sud;aanu.h y;a.m dev;aasa ;ii.dya.m vi;svav;ida.m havyav;aaham ;adadhur adhvar;e.su	jaat;a.h agn;i.h rocate c;ekitaana.h vaaj;ii v;ipra.h kavi;sast;a.h sud;aanu.h y;am dev;aasa.h ;ii.dyam vi;svav;idam havyav;aaham ;adadhu.h adhvar;e.su
s;iida hota.h sv;a u lok;e cikitv;aan saad;ayaa yaj;n;a.m suk.rt;asya y;onau devaav;iir dev;aan hav;i.saa yajaasy ;agne b.rh;ad y;ajamaane v;ayo dhaa.h	s;iida hotar sv;e ulok;e ! cikitv;aan saad;aya+ yaj;n;am suk.rt;asya y;onau devaav;ii.h dev;aan hav;i.saa yajaasi ;agne b.rh;at y;ajamaane v;aya.h dhaa.h
k.r.n;ota dhuum;a.m v;.r.sa.na.m sakhaay;o 'sredhanta itana v;aajam ;acha ay;am agn;i.h p.rtanaa.s;aa.t suv;iiro y;ena dev;aaso ;asahanta d;asyuun	k.r.n;ota dhuum;am v;.r.sa.nam sakhaaya.h ;asredhanta.h itana v;aajam ;acha ay;am agn;i.h p.rtanaa.s;aa.t suv;iira.h y;ena dev;aasa.h ;asahanta d;asyuun
ay;a.m te y;onir .rtv;iyo y;ato jaat;o ;arocathaa.h t;a.m jaan;ann agna ;aa siid;aathaa no vardhayaa g;ira.h	ay;am te y;oni.h .rtv;iya.h y;ata.h jaat;a.h ;arocathaa.h t;am jaan;an agne ;aa siida ;atha+ na.h vardhaya+ g;ira.h
t;anuun;apaad ucyate g;arbha aasur;o n;araa;s;a.mso bhavati y;ad vij;aayate maatar;i;svaa y;ad ;amimiita maat;ari v;aatasya s;argo abhavat s;ariima.ni	t;anuun;apaat ucyate g;arbha.h aasur;a.h n;araa;s;a.msa.h bhavati y;at vij;aayate maatar;i;svaa y;at ;amimiita maat;ari v;aatasya s;arga.h abhavat s;ariima.ni
sunirm;athaa n;irmathita.h sunidh;aa n;ihita.h kav;i.h ;agne svadhvar;aa k.r.nu dev;aan devayat;e yaja	sunirm;athaa n;irmathita.h sunidh;aa n;ihita.h kav;i.h ;agne svadhvar;aa k.r.nu dev;aan devayat;e yaja
;ajiijanann am;.rtam m;artyaaso 'srem;aa.na.m tar;a.ni.m vii.d;ujambham d;a;sa sv;asaaro agr;uva.h samiic;ii.h p;umaa.msa.m jaat;am abh;i s;a.m rabhante	;ajiijanan am;.rtam m;artyaasa.h asrem;aa.nam tar;a.nim vii.d;ujambham d;a;sa sv;asaara.h agr;uva.h samiic;ii.h p;umaa.msam jaat;am abh;i s;am rabhante
pr;a sapt;ahotaa sanak;aad arocata maat;ur up;asthe y;ad ;a;socad ;uudhani n;a n;i mi.sati sur;a.no div;e-dive y;ad ;asurasya ja.th;araad ;ajaayata	pr;a sapt;ahotaa sanak;aat arocata maat;u.h up;asthe y;at ;a;socat ;uudhani n;a n;i mi.sati sur;a.na.h div;e-dive y;at ;asurasya ja.th;araat ;ajaayata
amitraay;udho mar;utaam iva pray;aa.h prathamaj;aa br;ahma.no v;i;svam ;id vidu.h dyumn;avad br;ahma ku;sik;aasa ;erira ;eka-eko d;ame agn;i.m s;am iidhire	amitraay;udha.h mar;utaam iva pray;aa.h prathamaj;aa.h br;ahma.na.h v;i;svam ;it vidu.h dyumn;avat br;ahma ku;sik;aasa.h ;aa iirire ;eka-eka.h d;ame agn;im s;am iidhire
y;ad ady;a tvaa prayat;i yaj;n;e asm;in h;ota;s cikitv;o 'v.r.niimahiih;a dhruv;am ayaa dhruv;am ut;aa;sami.s.thaa.h prajaan;an vidv;aa;m ;upa yaahi s;omam	y;at ady;a tvaa prayat;i yaj;n;e asm;in h;otar cikitva.h ;av.r.niimahi ih;a dhruv;am ayaa.h dhruv;am ut;a a;sami.s.thaa.h prajaan;an vidv;aan ;upa yaahi s;omam
ich;anti tvaa somy;aasa.h s;akhaaya.h sunv;anti s;oma.m d;adhati pr;ayaa.msi t;itik.sante abh;i;sasti.m j;anaanaam ;indra tv;ad ;aa k;a;s can;a h;i praket;a.h	ich;anti tvaa somy;aasa.h s;akhaaya.h sunv;anti s;omam d;adhati pr;ayaa.msi t;itik.sante abh;i;sastim j;anaanaam ;indra tv;at ;aa k;a.h can;a h;i praket;a.h
n;a te duur;e param;aa cid r;ajaa.msy ;aa t;u pr;a yaahi harivo h;aribhyaam sthir;aaya v;.r.s.ne s;avanaa k.rt;em;aa yukt;aa gr;aavaa.na.h samidhaan;e agna;u	n;a te duur;e param;aa cit r;ajaa.msi ;aa t;u pr;a yaahi hariva.h h;aribhyaam sthir;aaya v;.r.s.ne s;avanaa k.rt;aa im;aa yukt;aa.h gr;aavaa.na.h samidhaan;e agna;u
;indra.h su;s;ipro magh;avaa t;arutro mah;aavraatas tuvikuurm;ir ;.rghaavaan y;ad ugr;o dh;aa baadhit;o m;artye.su kv:a ty;aa te v.r.sabha viiry:aa.ni	;indra.h su;s;ipra.h magh;avaa t;arutra.h mah;aavraata.h tuvikuurm;i.h ;.rghaavaan y;at ugr;a.h dh;aa.h baadhit;a.h m;artye.su kv:a ty;aa te v.r.sabha viiry:aa.ni
tv;a.m h;i .smaa cyaav;ayann ;acyutaany ;eko v.rtr;aa c;arasi j;ighnamaana.h t;ava dy;aavaap.rthiv;ii p;arvataas;o 'nu vrat;aaya n;imiteva tasthu.h	tv;am h;i sma+ cyaav;ayan ;acyutaani ;eka.h v.rtr;aa c;arasi j;ighnamaana.h t;ava dy;aavaap.rthiv;ii p;arvataasa.h ;anu vrat;aaya n;imitaa iva tasthu.h
ut;aabhaye puruhuuta ;sr;avobhir ;eko d.r.dh;am avado v.rtrah;aa s;an im;e cid indra r;odasii apaar;e y;at sa.mg.rbh.n;aa maghavan kaa;s;ir ;it te	ut;a ;abhaye puruhuuta ;sr;avobhi.h ;eka.h d.r.dh;am avada.h v.rtrah;aa s;an im;e cit indra r;odasii apaar;e y;at sa.mg.rbh.n;aa.h maghavan kaa;s;i.h ;it te
pr;a s;uu ta indra prav;ataa h;aribhyaam pr;a te v;ajra.h pram.r.n;ann etu ;s;atruun jah;i pratiic;o anuuc;a.h p;araaco v;i;sva.m saty;a.m k.r.nuhi vi.s.t;am astu	pr;a s;u+ te indra prav;ataa h;aribhyaam pr;a te v;ajra.h pram.r.n;an etu ;s;atruun jah;i pratiic;a.h anuuc;a.h p;araaca.h v;i;svam saty;am k.r.nuhi vi.s.t;am astu
y;asmai dh;aayur ;adadhaa m;artyaay;aabhakta.m cid bhajate gehy:a.m s;a.h bhadr;aa ta indra sumat;ir gh.rt;aacii sah;asradaanaa puruhuuta raat;i.h	y;asmai dh;aayu.h ;adadhaa.h m;artyaaya ;abhaktam cit bhajate gehy:am s;a.h bhadr;aa te indra sumat;i.h gh.rt;aacii sah;asradaanaa puruhuuta raat;i.h
sah;adaanum puruhuuta k.siy;antam ahast;am indra s;am pi.nak k;u.naarum abh;i v.rtr;a.m v;ardhamaanam p;iyaarum ap;aadam indra tav;asaa jaghantha	sah;adaanum puruhuuta k.siy;antam ahast;am indra s;am pi.nak k;u.naarum abh;i v.rtr;am v;ardhamaanam p;iyaarum ap;aadam indra tav;asaa jaghantha
n;i saaman;aam i.sir;aam indra bh;uumim mah;iim apaar;aa.m s;adane sasattha ;astabhnaad dy;aa.m v.r.sabh;o ant;arik.sam ;ar.santv ;aapas tv;ayeh;a pr;asuutaa.h	n;i saaman;aam i.sir;aam indra bh;uumim mah;iim apaar;aam s;adane sasattha ;astabhnaat dy;aam v.r.sabh;a.h ant;arik.sam ;ar.santu ;aapa.h tv;ayaa ih;a pr;asuutaa.h
alaat.r.n;o val;a indra vraj;o g;o.h pur;aa h;antor bh;ayamaano vy :aara sug;aan path;o ak.r.non nir;aje g;aa.h pr;aavan v;aa.nii.h puruhuut;a.m dh;amantii.h	alaat.r.n;a.h val;a.h indra vraj;a.h g;o.h pur;aa h;anto.h bh;ayamaana.h v;i aara sug;aan path;a.h ak.r.not nir;aje g;aa.h pr;a aavan v;aa.nii.h puruhuut;am dh;amantii.h
;eko dv;e v;asumatii samiic;ii ;indra ;aa paprau p.rthiv;iim ut;a dy;aam ut;aant;arik.saad abh;i na.h samiik;a i.s;o rath;ii.h say;uja.h ;suura v;aajaan	;eka.h dv;e v;asumatii samiic;ii ;indra.h ;aa paprau p.rthiv;iim ut;a dy;aam ut;a ant;arik.saat abh;i na.h samiik;e i.s;a.h rath;ii.h say;uja.h ;suura v;aajaan
d;i;sa.h s;uuryo n;a minaati pr;adi.s.taa div;e-dive h;arya;svaprasuutaa.h s;a.m y;ad ;aana.d ;adhvana ;aad ;id ;a;svair vim;ocana.m k.r.nute t;at tv :asya	d;i;sa.h s;uurya.h n;a minaati pr;adi.s.taa.h div;e-dive h;arya;svaprasuutaa.h s;am y;at ;aana.t ;adhvana.h ;aat ;it ;a;svai.h vim;ocanam k.r.nute t;at t;u asya
d;id.rk.santa u.s;aso y;aamann akt;or viv;asvatyaa m;ahi citr;am ;aniikam v;i;sve jaananti mahin;aa y;ad ;aagaad ;indrasya k;arma s;uk.rtaa pur;uu.ni	d;id.rk.sante u.s;asa.h y;aaman akt;o.h viv;asvatyaa.h m;ahi citr;am ;aniikam v;i;sve jaananti mahin;aa y;at ;aa agaat ;indrasya k;arma s;uk.rtaa pur;uu.ni
m;ahi jy;otir n;ihita.m vak.s;a.naasv aam;aa pakv;a.m carati b;ibhratii ga;u.h v;i;sva.m sv;aadma s;ambh.rtam usr;iyaayaa.m y;at siim ;indro ;adadhaad bh;ojanaaya	m;ahi jy;oti.h n;ihitam vak.s;a.naasu aam;aa pakv;am carati b;ibhratii ga;u.h v;i;svam sv;aadma s;ambh.rtam usr;iyaayaam y;at siim ;indra.h ;adadhaat bh;ojanaaya
;indra d;.rhya yaamako;s;aa abhuuvan yaj;n;aaya ;sik.sa g.r.nat;e s;akhibhya.h durmaay;avo dur;evaa m;artyaaso ni.sa:ng;i.no rip;avo h;antvaasa.h	;indra d;.rhya yaamako;s;aa.h abhuuvan yaj;n;aaya ;sik.sa g.r.nat;e s;akhibhya.h durmaay;ava.h dur;evaa.h m;artyaasa.h ni.sa:ng;i.na.h rip;ava.h h;antvaasa.h
s;a.m gh;o.sa.h ;s.r.nve 'vama;ir am;itrair jah;ii ny :e.sv a;s;ani.m t;api.s.thaam v.r;sc;em adh;astaad v;i rujaa s;ahasva jah;i r;ak.so maghavan randh;ayasva	s;am gh;o.sa.h ;s.r.nve avama;i.h am;itrai.h jah;i+ n;i e.su a;s;anim t;api.s.thaam v.r;sc;a iim adh;astaat v;i ruja+ s;ahasva jah;i r;ak.sa.h maghavan randh;ayasva
;ud v.rha r;ak.sa.h sah;amuulam indra v.r;sc;aa m;adhyam pr;aty ;agra.m ;s.r.niihi ;aa k;iivata.h salal;uuka.m cakartha brahmadv;i.se t;apu.si.m het;im asya	;ut v.rha r;ak.sa.h sah;amuulam indra v.r;sc;a+ m;adhyam pr;ati ;agram ;s.r.niihi ;aa k;iivata.h salal;uukam cakartha brahmadv;i.se t;apu.sim het;im asya
svast;aye vaaj;ibhi;s ca pra.neta.h s;a.m y;an mah;iir ;i.sa aas;atsi puurv;ii.h raay;o vant;aaro b.rhat;a.h syaamaasm;e astu bh;aga indra praj;aavaan	svast;aye vaaj;ibhi.h ca pra.netar s;am y;at mah;ii.h ;i.sa.h aas;atsi puurv;ii.h raay;a.h vant;aara.h b.rhat;a.h syaama asm;e astu bh;aga.h indra praj;aavaan
;aa no bhara bh;agam indra dyum;anta.m n;i te de.s.n;asya dhiimahi prarek;e uurv;a iva paprathe k;aamo asm;e t;am ;aa p.r.na vasupate v;asuunaam	;aa na.h bhara bh;agam indra dyum;antam n;i te de.s.n;asya dhiimahi prarek;e uurv;a.h iva paprathe k;aama.h asm;e t;am ;aa p.r.na vasupate v;asuunaam
im;a.m k;aamam mandayaa g;obhir ;a;svai;s candr;avataa r;aadhasaa papr;atha;s ca svary;avo mat;ibhis t;ubhya.m v;ipraa ;indraaya v;aaha.h ku;sik;aaso akran	im;am k;aamam mandaya+ g;obhi.h ;a;svai.h candr;avataa r;aadhasaa papr;atha.h ca svary;ava.h mat;ibhi.h t;ubhyam v;ipraa.h ;indraaya v;aaha.h ku;sik;aasa.h akran
;aa no gotr;aa dard.rhi gopate g;aa.h s;am asm;abhya.m san;ayo yantu v;aajaa.h div;ak.saa asi v.r.sabha saty;a;su.smo 'sm;abhya.m s;u maghavan bodhi god;aa.h	;aa na.h gotr;aa dard.rhi gopate g;aa.h s;am asm;abhyam san;aya.h yantu v;aajaa.h div;ak.saa.h asi v.r.sabha saty;a;su.sma.h asm;abhyam s;u maghavan bodhi god;aa.h
;sun;a.m huvema magh;avaanam ;indram asm;in bh;are n;.rtama.m v;aajasaatau ;s.r.nv;antam ugr;am uut;aye sam;atsu ghn;anta.m v.rtr;aa.ni sa.mj;ita.m dh;anaanaam	;sun;am huvema magh;avaanam ;indram asm;in bh;are n;.rtamam v;aajasaatau ;s.r.nv;antam ugr;am uut;aye sam;atsu ghn;antam v.rtr;aa.ni sa.mj;itam dh;anaanaam
;s;aasad v;ahnir duhit;ur napty:a.m gaad vidv;aa;m .rt;asya d;iidhiti.m sapary;an pit;aa y;atra duhit;u.h s;ekam .r;nj;an s;a.m ;sagmy:ena m;anasaa dadhanv;e	;s;aasat v;ahni.h duhit;u.h napty:am gaat vidv;aan .rt;asya d;iidhitim sapary;an pit;aa y;atra duhit;u.h s;ekam .r;nj;an s;am ;sagmy:ena m;anasaa dadhanv;e
n;a jaam;aye t;aanvo rikth;am aaraik cak;aara g;arbha.m sanit;ur nidh;aanam y;adii maat;aro jan;ayanta v;ahnim any;a.h kart;aa suk;.rtor any;a .rndh;an	n;a jaam;aye t;aanva.h rikth;am aaraik cak;aara g;arbham sanit;u.h nidh;aanam y;adi+ maat;ara.h jan;ayanta v;ahnim any;a.h kart;aa suk;.rto.h any;a.h .rndh;an
agn;ir jaj;ne juhv:aa r;ejamaano mah;as putr;aa;m aru.s;asya pray;ak.se mah;aan g;arbho m;ahy ;aa jaat;am e.saam mah;ii prav;.rd dh;arya;svasya yaj;na;i.h	agn;i.h jaj;ne juhv:aa r;ejamaana.h mah;a.h putr;aan aru.s;asya pray;ak.se mah;aan g;arbha.h m;ahi ;aa jaat;am e.saam mah;ii prav;.rt h;arya;svasya yaj;na;i.h
abh;i ja;itriir asacanta sp.rdhaan;am m;ahi jy;otis t;amaso n;ir ajaanan t;a.m jaanat;ii.h pr;aty ;ud aayann u.s;aasa.h p;atir g;avaam abhavad ;eka ;indra.h	abh;i ja;itrii.h asacanta sp.rdhaan;am m;ahi jy;oti.h t;amasa.h n;i.h ajaanan t;am jaanat;ii.h pr;ati ;ut aayan u.s;aasa.h p;ati.h g;avaam abhavat ;eka.h ;indra.h
vii.da;u sat;iir abh;i dh;iiraa at.rndan praac;aahinvan m;anasaa sapt;a v;ipraa.h v;i;svaam avindan pathy:aam .rt;asya prajaan;ann ;it t;aa n;amas;aa vive;sa	vii.da;u sat;ii.h abh;i dh;iiraa.h at.rndan praac;aa ahinvan m;anasaa sapt;a v;ipraa.h v;i;svaam avindan pathy:aam .rt;asya prajaan;an ;it t;aa n;amasaa ;aa vive;sa
vid;ad y;adii sar;amaa rug.n;am ;adrer m;ahi p;aatha.h puurvy;a.m sadhry:ak ka.h ;agra.m nayat sup;ady ;ak.saraa.naam ;achaa r;avam pratham;aa jaanat;ii gaat	vid;at y;adi+ sar;amaa rug.n;am ;adre.h m;ahi p;aatha.h puurvy;am sadhry:ak kar ;agram nayat sup;adii ;ak.saraa.naam ;acha+ r;avam pratham;aa jaanat;ii gaat
;agachad u v;ipratama.h sakhiiy;ann ;asuudayat suk;.rte g;arbham ;adri.h sas;aana m;aryo y;uvabhir makhasy;ann ;athaabhavad ;a:ngiraa.h sady;o ;arcan	;agachat u v;ipratama.h sakhiiy;an ;asuudayat suk;.rte g;arbham ;adri.h sas;aana m;arya.h y;uvabhi.h makhasy;an ;atha abhavat ;a:ngiraa.h sady;a.h ;arcan
sat;a.h-sata.h pratim;aanam purobh;uur v;i;svaa veda j;animaa h;anti ;s;u.s.nam pr;a .no div;a.h padav;iir gavy;ur ;arcan s;akhaa s;akhii;mr amu;ncan n;ir avady;aat	sat;a.h-sata.h pratim;aanam purobh;uu.h v;i;svaa veda j;anima+ h;anti ;s;u.s.nam pr;a na.h div;a.h padav;ii.h gavy;u.h ;arcan s;akhaa s;akhiin amu;ncat n;i.h avady;aat
n;i gavyat;aa m;anasaa sedur arka;i.h k.r.nvaan;aaso am.rtatv;aaya gaat;um id;a.m cin n;u s;adanam bh;uury e.saa.m y;ena m;aasaa;m ;asi.saasann .rt;ena	n;i gavyat;aa m;anasaa sedu.h arka;i.h k.r.nvaan;aasa.h am.rtatv;aaya gaat;um id;am cit n;u s;adanam bh;uuri e.saam y;ena m;aasaan ;asi.saasan .rt;ena
samp;a;syamaanaa amadann abh;i sv;am p;aya.h pratn;asya r;etaso d;ughaanaa.h v;i r;odasii atapad gh;o.sa e.saa.m jaat;e ni.s.th;aam ;adadhur g;o.su viir;aan	samp;a;syamaanaa.h amadan abh;i sv;am p;aya.h pratn;asya r;etasa.h d;ughaanaa.h v;i r;odasii atapat gh;o.sa.h e.saam jaat;e ni.s.th;aam ;adadhu.h g;o.su viir;aan
s;a jaat;ebhir v.rtrah;aa s;ed u havya;ir ;ud usr;iyaa as.rjad ;indro arka;i.h uruucy :asmai gh.rt;avad bh;arantii m;adhu sv;aadma duduhe j;enyaa ga;u.h	s;a jaat;ebhi.h v.rtrah;aa s;a ;it u havya;i.h ;ut usr;iyaa.h as.rjat ;indra.h arka;i.h uruuc;ii asmai gh.rt;avat bh;arantii m;adhu sv;aadma duduhe j;enyaa ga;u.h
pitr;e cic cakru.h s;adana.m s;am asmai m;ahi tv;i.siimat suk;.rto v;i h;i khy;an vi.skabhn;anta sk;ambhanenaa j;anitrii ;aasiinaa uurdhv;a.m rabhas;a.m v;i minvan	pitr;e cit cakru.h s;adanam s;am asmai m;ahi tv;i.siimat suk;.rta.h v;i h;i khy;an vi.skabhn;anta.h sk;ambhanena+ j;anitrii ;aasiinaa.h uurdhv;am rabhas;am v;i minvan
mah;ii y;adi dhi.s;a.naa ;si;sn;athe dh;aat sadyov;.rdha.m vibhv:a.m r;odasyo.h g;iro y;asminn anavady;aa.h samiic;iir v;i;svaa ;indraaya t;avi.siir ;anuttaa.h	mah;ii y;adi dhi.s;a.naa ;si;sn;athe dh;aat sadyov;.rdham vibhv:am r;odasyo.h g;ira.h y;asmin anavady;aa.h samiic;ii.h v;i;svaa.h ;indraaya t;avi.sii.h ;anuttaa.h
m;ahy ;aa te sakhy;a.m va;smi ;sakt;iir ;aa v.rtraghn;e niy;uto yanti puurv;ii.h m;ahi stotr;am ;ava ;aaganma suur;er asm;aaka.m s;u maghavan bodhi gop;aa.h	m;ahi ;aa te sakhy;am va;smi ;sakt;ii.h ;aa v.rtraghn;e niy;uta.h yanti puurv;ii.h m;ahi stotr;am ;ava.h ;aa aganma suur;e.h asm;aakam s;u maghavan bodhi gop;aa.h
m;ahi k.s;etram pur;u ;scandr;a.m vividv;aan ;aad ;it s;akhibhya;s car;atha.m s;am airat ;indro n;.rbhir ajanad d;iidyaana.h saak;a.m s;uuryam u.s;asa.m gaat;um agn;im	m;ahi k.s;etram pur;u ;scandr;am vividv;aan ;aat ;it s;akhibhya.h car;atham s;am airat ;indra.h n;.rbhi.h ajanat d;iidyaana.h saak;am s;uuryam u.s;asam gaat;um agn;im
